Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
29;26651;"Annual Review of Astronomy and Astrophysics";book series;"15454282, 00664146";"Annual Reviews Inc.";No;No;15,623;Q1;227;17;45;5218;1493;42;28,42;306,94;18,75;0;United States;Northern America;"Annual Reviews Inc.";"1980, 1990-2025";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
30;23350;"Chemical Society Reviews";journal;"03060012, 14604744";"Royal Society of Chemistry";No;No;15,598;Q1;709;291;794;64100;41137;772;50,59;220,27;29,56;16;United Kingdom;Western Europe;"Royal Society of Chemistry";"1972-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
31;6200180159;"World Psychiatry";journal;"20515545, 17238617";"John Wiley and Sons Inc";Yes;No;15,510;Q1;170;100;301;3547;3142;65;9,35;35,47;41,53;39;United States;Northern America;"John Wiley and Sons Inc";"2007-2026";"Psychiatry and Mental Health (Q1)";"Medicine"
32;16115;"Nature Biotechnology";journal;"15461696, 10870156";"Nature Research";No;No;15,358;Q1;553;342;1039;5577;14355;612;15,05;16,31;30,93;80;United Kingdom;Western Europe;"Nature Research";"1985, 1987, 1989-2026";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
33;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"SAGE Publications Ltd";No;No;15,098;Q1;228;33;79;3202;848;74;9,18;97,03;35,38;18;United States;Northern America;"SAGE Publications Ltd";"1975-1987, 1989-1990, 1993-1994, 1996-2026";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
34;17500155114;"Energy and Environmental Science";journal;"17545692, 17545706";"Royal Society of Chemistry";No;No;14,486;Q1;491;330;811;30726;29599;803;36,49;93,11;26,10;29;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2026";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science"
35;17854;"Nature Materials";journal;"14764660, 14761122";"Nature Publishing Group";No;No;14,344;Q1;608;262;759;8110;18495;541;22,35;30,95;23,45;10;United Kingdom;Western Europe;"Nature Publishing Group";"2002-2026";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
36;21100862548;"Nature Catalysis";journal;"25201158";"Nature Publishing Group";No;No;14,330;Q1;188;144;372;6378;7637;263;20,53;44,29;27,55;6;United States;Northern America;"Nature Publishing Group";"2018-2026";"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
37;5200152704;"Nature Nanotechnology";journal;"17483387, 17483395";"Nature Research";No;No;14,308;Q1;467;188;764;6524;16668;477;20,45;34,70;26,27;14;United Kingdom;Western Europe;"Nature Research";"2006-2026";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy"
38;20798;"Immunity";journal;"10974180, 10747613";"Cell Press";No;No;14,286;Q1;498;224;726;13892;13592;705;18,53;62,02;39,58;24;United States;Northern America;"Cell Press";"1994-2026";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
39;24004;"Physiological Reviews";journal;"15221210, 00319333";"American Physiological Society";No;No;13,853;Q1;417;44;133;18814;4838;129;36,17;427,59;39,04;6;United States;Northern America;"American Physiological Society";"1945-2026";"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
40;5700165152;"Nature Photonics";journal;"17494885, 17494893";"Nature Research";No;No;13,674;Q1;429;162;579;4743;12076;353;19,06;29,28;17,70;2;United Kingdom;Western Europe;"Nature Research";"2007-2026";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
41;12354;"The Lancet Oncology";journal;"14702045, 14745488";"Elsevier Ltd";No;No;13,530;Q1;455;489;1719;6914;16703;572;9,27;14,14;39,25;0;United Kingdom;Western Europe;"Elsevier Ltd";"2000-2026";"Oncology (Q1)";"Medicine"
42;17436;"Nature Neuroscience";journal;"10976256, 15461726";"Nature Research";No;No;13,403;Q1;515;189;692;9173;11963;651;16,16;48,53;37,46;15;United Kingdom;Western Europe;"Nature Research";"1998-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
43;16590;"The Lancet";journal;"01406736, 1474547X";"Elsevier B.V.";No;No;13,103;Q1;982;1470;4589;16002;47404;1226;9,74;10,89;37,41;0;United Kingdom;Western Europe;"Elsevier B.V.";"1823-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
44;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;13,035;Q1;436;192;486;8980;10502;482;19,98;46,77;39,72;21;United States;Northern America;"Cell Press";"2002-2026";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
45;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;12,996;Q1;124;43;134;2271;989;134;6,84;52,81;24,53;43;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
46;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,800;Q1;268;120;355;6948;2281;355;5,30;57,90;20,28;88;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
47;16860;"The Lancet Neurology";journal;"14744465, 14744422";"Elsevier Ltd";No;No;12,776;Q1;398;266;770;5097;8507;254;10,67;19,16;42,03;0;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2026";"Neurology (clinical) (Q1)";"Medicine"
48;18606;"Molecular Cell";journal;"10974164, 10972765";"Cell Press";No;No;12,615;Q1;473;413;1185;25106;17729;1179;13,74;60,79;36,48;10;United States;Northern America;"Cell Press";"1997-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
49;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;12,556;Q1;1433;3207;8812;41629;110949;4490;11,84;12,98;32,63;419;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
50;21100834904;"Joule";journal;"25424351";"Cell Press";No;No;12,532;Q1;252;237;596;10595;14893;507;25,00;44,70;25,60;55;United States;Northern America;"Cell Press";"2017-2026";"Energy (miscellaneous) (Q1)";"Energy"
51;17700156734;"Nature Reviews Clinical Oncology";journal;"17594782, 17594774";"Nature Publishing Group";No;No;12,214;Q1;259;145;586;7574;8513;273;14,28;52,23;36,40;22;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Oncology (Q1)";"Medicine"
52;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;11,771;Q1;199;21;89;3698;878;89;8,13;176,10;19,51;0;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
53;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";"Annual Reviews Inc.";Yes;No;11,695;Q1;320;29;79;4986;2127;79;26,24;171,93;40,91;4;United States;Northern America;"Annual Reviews Inc.";"1996-2025";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
54;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;11,673;Q1;355;152;369;7843;2744;368;6,16;51,60;19,84;119;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
55;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";"Springer Nature";No;No;11,585;Q1;510;155;416;7893;5648;253;11,24;50,92;37,89;11;United Kingdom;Western Europe;"Springer Nature";"2000-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
56;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";"Springer International Publishing AG";Yes;Yes;11,551;Q1;107;4;20;1722;683;20;40,15;430,50;19,76;0;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
57;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";"Nature Research";No;No;11,496;Q1;421;168;488;7706;9081;300;18,43;45,87;33,33;24;United Kingdom;Western Europe;"Nature Research";"2003-2026";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
58;19014;"Nature Cell Biology";journal;"14764679, 14657392";"Nature Research";No;No;11,380;Q1;431;158;562;7097;8625;465;15,33;44,92;37,31;6;United Kingdom;Western Europe;"Nature Research";"1999-2026";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
59;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;11,193;Q1;410;66;262;6880;2554;261;8,16;104,24;41,08;6;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
60;18395;"Annual Review of Cell and Developmental Biology";book series;"15308995, 10810706";"Annual Reviews Inc.";No;No;11,094;Q1;255;23;80;3751;1265;77;12,39;163,09;45,61;2;United States;Northern America;"Annual Reviews Inc.";"1995-2025";"Cell Biology (Q1); Developmental Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
61;23157;"Strategic Management Journal";journal;"10970266, 01432095";"John Wiley and Sons Ltd";No;No;11,035;Q1;370;92;372;7470;3221;362;7,44;81,20;24,89;23;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1980-2026";"Business and International Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
62;21706;"Annual Review of Genetics";book series;"15452948, 00664197";"Annual Reviews Inc.";No;No;10,880;Q1;214;24;70;3613;1107;70;16,09;150,54;31,67;1;United States;Northern America;"Annual Reviews Inc.";"1970-2025";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
63;26756;"Astronomy and Astrophysics Review";journal;"09354956, 14320754";"Springer Science and Business Media Deutschland GmbH";Yes;No;10,857;Q1;89;7;19;2701;439;19;24,86;385,86;20,00;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1989-2000, 2002-2004, 2006-2025";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
64;13443;"Psychological Bulletin";journal;"00332909, 19391455";"American Psychological Association";No;No;10,737;Q1;396;33;132;8220;3001;119;14,54;249,09;36,17;15;United States;Northern America;"American Psychological Association";"1904-2025";"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
65;21100780831;"Nature Reviews Disease Primers";journal;"2056676X";"Nature Publishing Group";No;No;10,718;Q1;236;99;250;8925;7430;176;20,61;90,15;37,50;27;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
66;19881;"Advanced Materials";journal;"09359648, 15214095";"Wiley-Blackwell";No;No;10,707;Q1;709;1451;4175;119244;120570;4143;27,96;82,18;28,73;28;United States;Northern America;"Wiley-Blackwell";"1989-2026";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)";"Engineering; Materials Science"
67;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";"University of Chicago Press";No;No;10,535;Q1;76;21;43;536;62;11;1,44;25,52;0,00;11;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
68;29949;"Journal of Clinical Oncology";journal;"15277755, 0732183X";"Lippincott Williams and Wilkins";No;No;10,482;Q1;666;566;1879;17333;24532;1210;12,81;30,62;39,74;0;United States;Northern America;"Lippincott Williams and Wilkins";"1983-2026";"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
69;120008;"Annual Review of Physiology";book series;"00664278, 15451585";"Annual Reviews Inc.";No;No;10,475;Q1;252;23;71;3350;1736;71;18,70;145,65;30,19;3;United States;Northern America;"Annual Reviews Inc.";"1946-2009, 2011-2026";"Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
70;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;10,443;Q1;96;38;104;1743;492;104;4,28;45,87;11,39;30;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
71;12010;"Annual Review of Psychology";journal;"00664308, 15452085";"Annual Reviews Inc.";No;No;10,358;Q1;315;26;79;3844;1939;76;22,17;147,85;40,68;10;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-1963, 1965-2026";"Psychology (miscellaneous) (Q1)";"Psychology"
72;146172;"Cell Metabolism";journal;"15504131, 19327420";"Cell Press";No;No;10,326;Q1;391;213;691;11854;12824;659;17,72;55,65;40,98;23;United States;Northern America;"Cell Press";"2005-2026";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
73;22401;"Journal of the American College of Cardiology";journal;"15583597, 07351097";"Elsevier Inc.";No;No;10,315;Q1;531;935;2959;22529;25780;1189;8,14;24,10;28,51;159;United States;Northern America;"Elsevier Inc.";"1983-2026";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
74;14181;"Annual Review of Neuroscience";book series;"0147006X, 15454126";"Annual Reviews Inc.";No;No;10,219;Q1;278;24;76;3557;1187;76;12,16;148,21;17,33;1;United States;Northern America;"Annual Reviews Inc.";"1978-2025";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
75;21100972445;"Nature Reviews Physics";journal;"25225820";"Springer International Publishing";Yes;No;10,120;Q1;110;115;105;6049;1339;55;12,75;52,60;25,60;9;United Kingdom;Western Europe;"Springer International Publishing";"2019-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
76;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";"John Wiley and Sons Inc";No;No;10,080;Q1;388;706;1975;60592;53658;1962;27,14;85,82;27,68;15;Germany;Western Europe;"John Wiley and Sons Inc";"2011-2026";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
77;18100156701;"Nature Chemistry";journal;"17554330, 17554349";"Nature Publishing Group";No;No;9,996;Q1;323;199;633;7256;9900;526;15,20;36,46;25,59;10;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
78;20425;"Nature Reviews Drug Discovery";journal;"14741784, 14741776";"Nature Research";No;No;9,921;Q1;428;246;676;7841;8655;315;12,53;31,87;27,78;31;United Kingdom;Western Europe;"Nature Research";"2002-2026";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
79;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";"Annual Reviews Inc.";No;No;9,807;Q1;98;21;60;2572;1096;57;15,61;122,48;55,10;10;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
80;19897;"European Urology";journal;"18737560, 03022838";"Elsevier B.V.";No;No;9,799;Q1;288;469;1497;6664;10686;535;6,41;14,21;26,07;93;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Urology (Q1)";"Medicine"
81;12812;"Personality and Social Psychology Review";journal;"10888683, 15327957";"SAGE Publications Inc.";No;No;9,757;Q1;204;15;45;2460;789;44;16,93;164,00;44,19;3;United States;Northern America;"SAGE Publications Inc.";"1997-2026";"Social Psychology (Q1)";"Psychology"
82;28980;"Journal of Economic Perspectives";journal;"08953309, 19447965";"American Economic Association";No;No;9,614;Q1;253;41;140;2515;2002;138;8,11;61,34;23,26;11;United States;Northern America;"American Economic Association";"1987, 1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
83;17978;"Neuron";journal;"10974199, 08966273";"Cell Press";No;No;9,612;Q1;569;411;1449;24926;17819;1424;10,98;60,65;34,83;19;United States;Northern America;"Cell Press";"1988-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
84;21100884663;"Nature Electronics";journal;"25201131";"Nature Publishing Group";No;No;9,569;Q1;159;161;330;4595;3843;174;11,65;28,54;22,35;5;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2026";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)";"Engineering; Materials Science; Physics and Astronomy"
