Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
11;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;21,239;Q1;235;70;183;3812;1211;153;5,05;54,46;15,24;66;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
12;23340;"Chemical Reviews";journal;"15206890, 00092665";"American Chemical Society";No;No;20,847;Q1;905;225;803;93153;45205;774;51,02;414,01;27,65;14;United States;Northern America;"American Chemical Society";"1924-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
13;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";"Centers for Disease Control and Prevention (CDC)";Yes;No;20,617;Q1;121;12;50;585;2295;50;43,06;48,75;64,21;7;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2009, 2011-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
14;21318;"Nature Reviews Immunology";journal;"14741741, 14741733";"Nature Research";No;No;20,611;Q1;511;143;432;8420;7495;186;15,05;58,88;28,49;14;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
15;21100778827;"Nature Methods";journal;"15487091, 15487105";"Nature Research";No;No;20,148;Q1;432;389;920;6476;13846;549;13,71;16,65;27,12;28;United Kingdom;Western Europe;"Nature Research";"2004-2026";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
16;18990;"Nature Genetics";journal;"10614036, 15461718";"Nature Research";No;No;19,795;Q1;679;239;742;10379;15356;644;19,11;43,43;37,28;65;United Kingdom;Western Europe;"Nature Research";"1992-2026";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
17;21100812579;"Nature Energy";journal;"20587546";"Springer Nature";No;No;19,635;Q1;291;211;585;5162;17254;404;23,22;24,46;22,35;58;United States;Northern America;"Springer Nature";"2016-2026";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
18;20111;"Vital and Health Statistics";journal;"08864691, 23332433";"";No;No;19,393;Q1;5;0;1;0;68;1;0,00;0,00;0,00;0;United States;Northern America;"";"1972, 1983-1984, 1989, 1993, 1995, 1997, 2001, 2007, 2012, 2016";"Medicine (miscellaneous) (Q1)";"Medicine"
19;15847;"New England Journal of Medicine";journal;"00284793, 15334406";"Massachussetts Medical Society";No;No;18,291;Q1;1275;1447;4539;15159;78354;1848;18,40;10,48;34,81;3;United States;Northern America;"Massachussetts Medical Society";"1945-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
20;16801;"Annual Review of Biochemistry";book series;"15454509, 00664154";"Annual Reviews Inc.";No;No;17,387;Q1;342;30;104;4749;2914;104;27,48;158,30;27,78;0;United States;Northern America;"Annual Reviews Inc.";"1946-1948, 1950-1960, 1962-2025";"Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology"
21;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;17,134;Q1;386;75;205;3839;1562;204;6,88;51,19;17,65;56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
22;15819;"Nature Medicine";journal;"1546170X, 10788956";"Nature Research";No;No;15,812;Q1;676;384;806;11033;16075;638;19,66;28,73;39,93;90;United Kingdom;Western Europe;"Nature Research";"1995-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
23;12354;"The Lancet Oncology";journal;"14702045, 14745488";"Elsevier Ltd";No;No;15,650;Q1;455;538;1787;7798;16594;541;7,94;14,49;37,57;0;United Kingdom;Western Europe;"Elsevier Ltd";"2000-2026";"Oncology (Q1)";"Medicine"
24;21100826569;"Nature Reviews Chemistry";journal;"23973358";"Nature Publishing Group";No;No;15,610;Q1;153;83;192;6916;2973;102;15,48;83,33;27,74;3;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
25;5200152704;"Nature Nanotechnology";journal;"17483387, 17483395";"Nature Research";No;No;15,555;Q1;467;260;727;7168;16246;523;19,88;27,57;24,69;22;United Kingdom;Western Europe;"Nature Research";"2006-2026";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy"
26;17854;"Nature Materials";journal;"14764660, 14761122";"Nature Publishing Group";No;No;14,862;Q1;608;277;760;8622;19647;603;22,65;31,13;21,94;13;United Kingdom;Western Europe;"Nature Publishing Group";"2002-2026";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
27;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";"Springer Nature";No;No;14,780;Q1;510;147;404;9323;5703;214;12,22;63,42;32,24;12;United Kingdom;Western Europe;"Springer Nature";"2000-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
28;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;14,563;Q1;242;59;186;2867;870;169;3,78;48,59;13,74;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
29;16590;"The Lancet";journal;"01406736, 1474547X";"Elsevier B.V.";No;No;14,554;Q1;982;1574;4733;22282;46425;1273;8,44;14,16;42,28;0;United Kingdom;Western Europe;"Elsevier B.V.";"1823-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
30;23350;"Chemical Society Reviews";journal;"03060012, 14604744";"Royal Society of Chemistry";No;No;14,490;Q1;709;185;891;38916;37611;865;42,09;210,36;28,80;14;United Kingdom;Western Europe;"Royal Society of Chemistry";"1972-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
31;26978;"Advances in Physics";journal;"14606976, 00018732";"Taylor and Francis Ltd.";No;No;14,432;Q1;130;4;15;885;380;15;9,67;221,25;6,67;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1952-2026";"Condensed Matter Physics (Q1)";"Physics and Astronomy"
32;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;14,235;Q1;184;74;160;4009;819;160;4,41;54,18;16,48;70;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
33;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;14,047;Q1;1495;2513;9126;42933;113795;4514;11,64;17,08;31,30;469;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
34;20651;"Annual Review of Immunology";book series;"15453278, 07320582";"Annual Reviews Inc.";No;No;13,842;Q1;349;24;73;4127;1679;73;21,06;171,96;41,25;2;United States;Northern America;"Annual Reviews Inc.";"1983-2025";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
35;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";"University of Chicago Press";No;No;13,793;Q1;76;20;68;442;141;22;0,91;22,10;0,00;10;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
36;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;13,773;Q1;399;117;645;6290;4076;632;5,71;53,76;15,94;112;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
37;17436;"Nature Neuroscience";journal;"10976256, 15461726";"Nature Research";No;No;13,723;Q1;515;233;682;11035;10856;629;14,55;47,36;38,22;24;United Kingdom;Western Europe;"Nature Research";"1998-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
38;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499, 23807504";"Institute of Electrical and Electronics Engineers Inc.";No;No;13,637;-;435;1077;759;49679;20797;753;32,58;46,13;22,26;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021, 2023";"Computer Vision and Pattern Recognition; Software";"Computer Science"
39;5700165152;"Nature Photonics";journal;"17494885, 17494893";"Nature Research";No;No;13,614;Q1;429;216;569;6056;12143;406;19,83;28,04;21,58;8;United Kingdom;Western Europe;"Nature Research";"2007-2026";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
40;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";"IEEE Computer Society";No;No;13,396;-;666;1296;2080;57970;87914;2075;31,43;44,73;21,77;0;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2025";"Computer Vision and Pattern Recognition; Software";"Computer Science"
41;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";"Nature Research";No;No;13,160;Q1;421;172;438;7737;6431;235;12,80;44,98;31,96;33;United Kingdom;Western Europe;"Nature Research";"2003-2026";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
42;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;13,110;Q1;1433;3085;7679;39795;107471;4505;11,78;12,90;30,18;351;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
43;17500155114;"Energy and Environmental Science";journal;"17545692, 17545706";"Royal Society of Chemistry";No;No;13,024;Q1;491;272;865;21732;28653;859;30,83;79,90;25,84;36;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2026";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science"
44;26651;"Annual Review of Astronomy and Astrophysics";book series;"15454282, 00664146";"Annual Reviews Inc.";No;No;12,954;Q1;227;16;47;3670;1611;45;31,59;229,38;39,29;0;United States;Northern America;"Annual Reviews Inc.";"1980, 1990-2025";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
45;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,837;Q1;268;125;322;6752;1931;322;4,69;54,02;16,89;103;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
46;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;12,595;Q1;132;23;71;5376;1190;69;14,38;233,74;38,27;10;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
47;16115;"Nature Biotechnology";journal;"15461696, 10870156";"Nature Research";No;No;12,565;Q1;553;355;1013;7221;11809;660;10,35;20,34;32,49;72;United Kingdom;Western Europe;"Nature Research";"1985, 1987, 1989-2026";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
48;21100780831;"Nature Reviews Disease Primers";journal;"2056676X";"Nature Publishing Group";No;No;12,268;Q1;236;84;217;7963;6074;171;22,60;94,80;34,49;22;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
49;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;11,999;Q1;355;134;358;6850;2444;358;6,00;51,12;19,10;100;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
50;20798;"Immunity";journal;"10974180, 10747613";"Cell Press";No;No;11,977;Q1;498;248;747;14819;11820;730;13,77;59,75;37,90;14;United States;Northern America;"Cell Press";"1994-2026";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
51;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;11,909;Q1;436;146;534;6841;9300;531;17,27;46,86;38,41;11;United States;Northern America;"Cell Press";"2002-2026";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
52;18395;"Annual Review of Cell and Developmental Biology";book series;"15308995, 10810706";"Annual Reviews Inc.";No;No;11,782;Q1;255;30;79;4486;1163;77;14,56;149,53;43,59;0;United States;Northern America;"Annual Reviews Inc.";"1995-2025";"Cell Biology (Q1); Developmental Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
53;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";"University of Chicago Press";No;No;11,572;Q1;143;50;123;2147;635;121;3,52;42,94;20,00;47;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2026";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
54;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"SAGE Publications Ltd";No;No;11,493;Q1;228;29;73;3136;649;65;8,64;108,14;31,58;15;United States;Northern America;"SAGE Publications Ltd";"1975-1987, 1989-1990, 1993-1994, 1996-2026";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
55;16860;"The Lancet Neurology";journal;"14744465, 14744422";"Elsevier Ltd";No;No;11,258;Q1;398;245;836;5011;7659;266;8,31;20,45;40,47;0;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2026";"Neurology (clinical) (Q1)";"Medicine"
56;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;11,190;Q1;410;76;280;7778;2998;280;8,40;102,34;38,86;21;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
57;21100862548;"Nature Catalysis";journal;"25201158";"Nature Publishing Group";No;No;11,104;Q1;188;185;187;6316;2907;135;15,55;34,14;28,25;13;United States;Northern America;"Nature Publishing Group";"2018-2026";"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
58;18606;"Molecular Cell";journal;"10974164, 10972765";"Cell Press";No;No;11,075;Q1;473;415;1153;23676;14962;1145;12,72;57,05;35,83;23;United States;Northern America;"Cell Press";"1997-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
59;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";"Annual Reviews Inc.";Yes;No;10,836;Q1;320;29;78;4825;1773;78;21,12;166,38;23,23;6;United States;Northern America;"Annual Reviews Inc.";"1996-2025";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
60;146172;"Cell Metabolism";journal;"15504131, 19327420";"Cell Press";No;No;10,810;Q1;391;234;700;13035;11748;657;14,74;55,71;40,68;22;United States;Northern America;"Cell Press";"2005-2026";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
61;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";"Springer International Publishing AG";Yes;Yes;10,803;Q1;107;6;16;2346;535;16;34,36;391,00;14,29;0;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
62;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;10,788;Q1;124;46;125;2410;772;125;5,63;52,39;29,51;38;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
63;19881;"Advanced Materials";journal;"09359648, 15214095";"Wiley-Blackwell";No;No;10,571;Q1;709;1324;4077;109771;109361;3979;26,81;82,91;29,20;32;United States;Northern America;"Wiley-Blackwell";"1989-2026";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)";"Engineering; Materials Science"
64;120008;"Annual Review of Physiology";book series;"00664278, 15451585";"Annual Reviews Inc.";No;No;10,545;Q1;252;26;70;3899;1442;69;20,22;149,96;33,33;1;United States;Northern America;"Annual Reviews Inc.";"1946-2009, 2011-2026";"Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
65;14181;"Annual Review of Neuroscience";book series;"0147006X, 15454126";"Annual Reviews Inc.";No;No;10,311;Q1;278;23;72;3046;959;72;13,34;132,43;32,79;0;United States;Northern America;"Annual Reviews Inc.";"1978-2025";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
66;12010;"Annual Review of Psychology";journal;"00664308, 15452085";"Annual Reviews Inc.";No;No;10,232;Q1;315;32;76;4245;1842;74;20,30;132,66;39,74;21;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-1963, 1965-2026";"Psychology (miscellaneous) (Q1)";"Psychology"
67;24004;"Physiological Reviews";journal;"15221210, 00319333";"American Physiological Society";No;No;10,153;Q1;417;39;124;22696;2995;118;23,01;581,95;36,42;10;United States;Northern America;"American Physiological Society";"1945-2026";"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
68;29949;"Journal of Clinical Oncology";journal;"15277755, 0732183X";"Lippincott Williams and Wilkins";No;No;10,054;Q1;666;538;2214;13220;25299;1344;11,58;24,57;39,44;0;United States;Northern America;"Lippincott Williams and Wilkins";"1983-2026";"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
69;22401;"Journal of the American College of Cardiology";journal;"15583597, 07351097";"Elsevier Inc.";No;No;9,989;Q1;531;959;3022;23133;21823;1161;7,41;24,12;29,18;172;United States;Northern America;"Elsevier Inc.";"1983-2026";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
70;18100156701;"Nature Chemistry";journal;"17554330, 17554349";"Nature Publishing Group";No;No;9,927;Q1;323;196;661;6494;10680;567;15,44;33,13;25,49;4;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
71;19014;"Nature Cell Biology";journal;"14764679, 14657392";"Nature Research";No;No;9,916;Q1;431;177;534;9416;6369;464;10,98;53,20;36,44;18;United Kingdom;Western Europe;"Nature Research";"1999-2026";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
72;17700156734;"Nature Reviews Clinical Oncology";journal;"17594782, 17594774";"Nature Publishing Group";No;No;9,882;Q1;259;172;581;7157;6246;284;11,57;41,61;33,81;22;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Oncology (Q1)";"Medicine"
73;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;9,677;Q1;199;21;96;2615;706;96;7,31;124,52;17,86;9;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
74;17978;"Neuron";journal;"10974199, 08966273";"Cell Press";No;No;9,527;Q1;569;454;1503;27153;16859;1487;10,66;59,81;35,68;22;United States;Northern America;"Cell Press";"1988-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
75;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";"John Wiley and Sons Inc";No;No;9,513;Q1;388;615;1807;37669;44235;1765;24,82;61,25;27,43;8;Germany;Western Europe;"John Wiley and Sons Inc";"2011-2026";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
76;19066;"Trends in Cell Biology";journal;"09628924, 18793088";"Elsevier Ltd";No;No;9,496;Q1;281;91;279;7753;4137;262;13,86;85,20;37,61;3;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
77;40944;"Genome Biology";journal;"1474760X, 14747596";"BioMed Central Ltd";Yes;No;9,479;Q1;332;286;697;15569;8523;651;9,33;54,44;33,37;43;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2026";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
78;12137;"Journal of Statistical Software";journal;"15487660";"University of California at Los Angeles";Yes;Yes;9,444;Q1;199;52;241;2512;3879;241;15,34;48,31;18,24;11;United States;Northern America;"University of California at Los Angeles";"1996-2025";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
79;28599;"Reviews of Geophysics";journal;"19449208, 87551209";"John Wiley and Sons Inc";No;No;9,345;Q1;219;32;75;10168;1670;71;21,79;317,75;24,45;0;United States;Northern America;"John Wiley and Sons Inc";"1963-2026";"Geophysics (Q1)";"Earth and Planetary Sciences"
80;6100153018;"Cell Stem Cell";journal;"19345909, 18759777";"Cell Press";No;No;9,340;Q1;329;185;614;8826;7577;546;11,52;47,71;38,99;28;United States;Northern America;"Cell Press";"2007-2026";"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology"
81;21100834904;"Joule";journal;"25424351";"Cell Press";No;No;9,340;Q1;252;270;326;12271;5883;275;18,05;45,45;27,26;53;United States;Northern America;"Cell Press";"2017-2026";"Energy (miscellaneous) (Q1)";"Energy"
82;21100237403;"The Lancet Diabetes and Endocrinology";journal;"22138595, 22138587";"Elsevier Ltd";No;No;9,337;Q1;207;203;689;3878;5054;210;8,32;19,10;34,63;0;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2026";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
83;21315;"Nature Immunology";journal;"15292908, 15292916";"Nature Research";No;No;9,283;Q1;468;257;692;7825;8217;604;9,32;30,45;36,26;14;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
